16531	7:49:20	121.7903	31.1725	88	67	0	8:19:17	121.7136	31.2403	14.8333976
87039	18:00:20	121.7996	31.1513	0	90	0	18:29:49	121.6326	31.227	25.42072498
89007	9:23:28	121.7995	31.1526	2	45	0	9:52:28	121.5616	31.1716	32.1467497
84303	17:51:26	121.7745	31.1636	0	135	0	18:20:16	121.4751	31.212	40.98377027
20125	9:27:46	121.7995	31.152	26	90	0	9:56:28	121.585	31.13	29.07228997
89313	10:24:30	121.7995	31.1528	20	67	0	10:52:59	121.5233	31.1453	37.18443538
84257	13:58:39	121.7663	31.1603	60	22	0	14:27:05	121.7878	31.1768	3.885446244
84474	18:13:12	121.7993	31.1498	22	90	0	18:41:38	121.5563	31.186	33.18357707
84303	18:45:59	121.8005	31.15	0	135	0	19:14:23	121.4791	31.2286	44.96127452
87746	15:02:09	121.799	31.1535	0	22	0	15:29:50	121.6508	31.2121	21.96107738
54244	21:52:54	121.7993	31.1491	0	112	0	22:20:11	121.5316	31.2013	36.93544253
49984	9:55:27	121.8018	31.1526	26	45	0	10:21:59	121.5203	31.1598	37.89296162
88903	11:44:34	121.7996	31.1525	0	67	0	12:10:23	121.6586	31.1963	20.1794906
81532	6:14:02	121.7998	31.149	32	90	0	6:38:49	121.6538	31.2685	27.1753386
84013	11:27:43	121.8003	31.1513	0	67	0	11:52:10	121.695	31.1898	15.40519572
89527	10:11:47	121.7996	31.1526	28	67	0	10:35:34	121.6838	31.2263	19.4132501
105	15:12:28	121.8008	31.1505	6	45	0	15:36:13	121.6861	31.1943	16.89737961
35445	6:40:32	121.7995	31.1523	22	90	0	7:04:17	121.7016	31.2026	15.36178137
87316	12:32:13	121.7996	31.153	0	67	0	12:55:56	121.681	31.1916	17.07032636
87682	15:43:58	121.8008	31.1485	48	90	0	16:07:32	121.76	31.1585	5.710547289
87106	8:46:32	121.8	31.1515	0	135	0	9:09:53	121.6781	31.2356	21.0630733
4515	10:09:56	121.7991	31.1531	10	45	0	10:33:10	121.6931	31.1968	15.82861039
81454	11:34:34	121.8005	31.1498	0	0	0	11:57:48	121.3815	31.2566	58.79761093
87048	22:29:42	121.7993	31.1528	4	45	0	22:52:36	121.6936	31.195	15.6912315
34872	15:54:46	121.7991	31.153	0	67	0	16:17:13	121.6905	31.202	16.51594452
85262	8:20:43	121.8008	31.1486	40	90	0	8:43:06	121.6353	31.2273	25.46867889
87037	21:09:17	121.7696	31.1666	22	0	0	21:31:37	121.6586	31.2315	18.08265353
82614	17:44:48	121.8003	31.1513	48	67	0	18:06:32	121.6916	31.203	16.72999275
84160	9:43:11	121.7995	31.1528	12	67	0	10:04:06	121.6955	31.202	15.98641331
87061	19:56:16	121.7998	31.1526	0	90	0	20:16:44	121.6996	31.2021	15.564574
35410	18:18:17	121.7995	31.152	0	112	0	18:38:39	121.6998	31.1966	15.13473484
81454	9:50:05	121.8005	31.1498	0	135	0	10:09:55	121.3918	31.3228	61.30870494
1934	22:16:02	121.7998	31.1526	0	67	0	22:35:35	121.6951	31.202	16.08405884
99780	14:04:10	121.7998	31.1526	20	45	0	14:23:41	121.7205	31.2361	16.91498421
87663	18:13:35	121.8008	31.1526	32	22	0	18:33:00	121.782	31.1841	5.561166834
84257	17:54:30	121.7915	31.171	54	67	0	18:13:50	121.7868	31.1781	1.282947488
87035	11:03:09	121.7996	31.1523	0	67	0	11:22:12	121.7355	31.1915	10.59945506
35257	5:23:54	121.7926	31.1691	56	67	0	5:42:46	121.6991	31.1735	12.59750732
87531	10:59:12	121.8001	31.1508	0	90	0	11:17:35	121.7095	31.205	14.87135813
87294	5:49:29	121.7903	31.1725	110	67	0	6:07:52	121.6931	31.1971	13.63451372
35834	22:48:27	121.789	31.1743	52	67	0	23:06:25	121.7871	31.1776	0.578395459
84013	10:01:43	121.8021	31.1495	0	67	0	10:19:05	121.7313	31.1978	12.18141032
82541	16:58:45	121.7998	31.1516	0	135	0	17:16:02	121.7001	31.1903	14.72831366
86323	11:16:33	121.789	31.1658	32	135	0	11:33:30	121.7881	31.1765	1.686708224
89142	13:50:21	121.7998	31.1538	6	22	0	14:07:12	121.7163	31.1928	12.79767149
61490	11:13:34	121.7995	31.1528	0	45	0	11:29:46	121.6948	31.1905	15.28162435
81454	9:29:45	121.8005	31.1498	0	135	0	9:45:10	121.3995	31.2815	57.76032196
1934	14:31:52	121.7988	31.1535	4	112	0	14:47:17	121.7125	31.1935	13.20367446
24817	6:30:59	121.7746	31.1663	8	45	0	6:45:56	121.7038	31.1821	9.843036466
89291	11:47:36	121.7898	31.1733	96	67	0	12:02:13	121.7826	31.1836	1.886990747
85791	8:07:36	121.8011	31.1486	0	90	0	8:22:06	121.7223	31.2195	15.38238169
84276	7:40:20	121.7991	31.1531	22	67	0	7:54:43	121.7391	31.1853	9.528280326
81454	22:14:51	121.8006	31.1496	0	112	0	22:29:10	121.7848	31.1811	5.389634246
87239	11:21:51	121.7998	31.1525	0	67	0	11:35:57	121.7211	31.2221	15.22529752
87604	12:40:25	121.799	31.1531	14	90	0	12:54:22	121.7286	31.2063	12.635198
85532	23:39:59	121.8006	31.1663	0	0	0	23:53:28	121.7011	31.1913	13.94985979
88537	10:02:25	121.8008	31.1485	52	90	0	10:14:57	121.7098	31.193	14.10058895
6814	12:34:50	121.8	31.1525	0	67	0	12:47:18	121.7586	31.1726	6.404126659
87205	10:09:28	121.8008	31.1525	26	45	0	10:21:44	121.7343	31.1986	11.51368837
81454	18:14:06	121.8005	31.1496	0	112	0	18:25:50	121.4105	31.2211	53.6496949
82459	18:18:52	121.789	31.1743	58	67	0	18:30:30	121.7511	31.1893	5.617193805
