56503.00	2007-02-20	12:21:33	121.80	31.15	38.00	67.00	1.00	12:40:52	121.49	31.14	42.04	0:19:19	141.34
59162.00	2007-02-20	21:29:35	121.80	31.15	.00	90.00	1.00	21:36:42	121.74	31.19	10.15	0:07:07	31.88
6814.00	2007-02-20	12:42:13	121.79	31.17	66.00	157.00	1.00	12:52:23	121.74	31.18	6.25	0:10:10	22.13
694.00	2007-02-20	07:54:04	121.80	31.15	.00	112.00	1.00	08:37:47	121.41	31.19	52.33	0:43:43	178.39
694.00	2007-02-20	15:55:14	121.80	31.15	.00	135.00	1.00	16:25:26	121.40	31.14	53.20	0:30:12	181.52
694.00	2007-02-20	21:28:19	121.80	31.15	.00	135.00	1.00	22:18:09	121.49	31.31	48.58	0:49:50	164.89
6954.00	2007-02-20	01:55:35	121.80	31.15	.00	.00	1.00	02:15:46	121.43	31.18	49.96	0:20:11	219.51
70131.00	2007-02-20	16:40:00	121.80	31.15	.00	112.00	1.00	17:18:37	121.47	31.24	46.34	0:38:37	156.82
70151.00	2007-02-20	20:39:00	121.80	31.15	.00	90.00	1.00	22:00:19	121.56	31.25	35.54	1:21:19	117.94
70379.00	2007-02-20	15:54:17	121.80	31.15	.00	135.00	1.00	16:32:42	121.44	31.20	49.58	0:38:25	168.49
70390.00	2007-02-20	14:35:37	121.80	31.15	.00	112.00	1.00	14:45:47	121.69	31.17	15.28	0:10:10	45.01
70479.00	2007-02-20	19:35:18	121.80	31.15	.00	112.00	1.00	19:40:23	121.77	31.19	7.08	0:05:05	24.20
76344.00	2007-02-20	07:57:48	121.80	31.15	.00	135.00	1.00	08:09:59	121.64	31.18	21.61	0:12:11	67.80
76344.00	2007-02-20	15:04:02	121.80	31.15	.00	135.00	1.00	15:21:19	121.64	31.30	32.33	0:17:17	106.39
76344.00	2007-02-20	19:56:40	121.80	31.16	82.00	157.00	1.00	20:28:09	121.52	31.20	37.12	0:31:29	123.63
76344.00	2007-02-20	22:56:04	121.80	31.15	.00	112.00	1.00	23:28:33	121.44	31.19	48.43	0:32:29	164.35
76588.00	2007-02-20	21:58:21	121.80	31.15	.00	112.00	1.00	22:42:04	121.38	31.19	56.80	0:43:43	194.48
76698.00	2007-02-20	17:27:39	121.80	31.15	.00	90.00	1.00	17:57:47	121.51	31.20	39.27	0:30:08	131.37
80974.00	2007-02-20	18:09:18	121.80	31.15	.00	135.00	1.00	18:47:55	121.46	31.26	49.03	0:38:37	166.51
81034.00	2007-02-20	15:26:46	121.80	31.15	.00	135.00	1.00	15:30:50	121.80	31.17	2.93	0:04:04	14.00
81034.00	2007-02-20	15:39:59	121.80	31.15	.00	45.00	1.00	16:20:31	121.43	31.29	54.68	0:40:32	186.85
81574.00	2007-02-20	13:05:52	121.80	31.15	.00	135.00	1.00	13:54:40	121.36	31.18	59.47	0:48:48	204.09
81824.00	2007-02-20	17:16:57	121.80	31.15	.00	90.00	1.00	17:51:31	121.50	31.26	44.57	0:34:34	150.45
81824.00	2007-02-20	18:41:19	121.79	31.17	58.00	67.00	1.00	18:43:21	121.80	31.15	3.10	0:02:02	14.25
81824.00	2007-02-20	21:58:18	121.80	31.15	.00	112.00	1.00	22:15:35	121.63	31.16	22.41	0:17:17	70.68
82459.00	2007-02-20	18:24:49	121.80	31.15	.00	90.00	1.00	18:27:52	121.79	31.17	2.75	0:03:03	14.00
82464.00	2007-02-20	14:18:50	121.80	31.15	.00	157.00	1.00	14:27:59	121.72	31.18	11.71	0:09:09	35.78
82545.00	2007-02-20	17:20:13	121.80	31.15	.00	157.00	1.00	18:03:56	121.45	31.24	49.54	0:43:43	168.34
82791.00	2007-02-20	15:58:59	121.80	31.15	.00	135.00	1.00	16:22:09	121.64	31.32	33.82	0:23:10	111.75
83843.00	2007-02-20	09:54:55	121.80	31.15	14.00	45.00	1.00	10:14:42	121.76	31.22	11.84	0:19:47	36.10
83867.00	2007-02-20	13:55:41	121.80	31.15	.00	135.00	1.00	14:07:52	121.68	31.17	15.85	0:12:11	47.06
83876.00	2007-02-20	16:56:23	121.80	31.15	.00	112.00	1.00	17:36:54	121.40	31.22	54.90	0:40:31	187.64
83876.00	2007-02-20	21:50:27	121.80	31.16	88.00	.00	1.00	22:41:39	121.40	31.21	53.98	0:51:12	184.33
84121.00	2007-02-20	13:25:47	121.80	31.15	.00	135.00	1.00	13:32:54	121.79	31.17	3.29	0:07:07	14.73
84121.00	2007-02-20	13:52:45	121.80	31.15	.00	90.00	1.00	14:06:59	121.65	31.16	20.65	0:14:14	64.34
84122.00	2007-02-20	18:02:16	121.80	31.15	.00	112.00	1.00	18:41:42	121.40	31.21	54.86	0:39:26	187.50
84152.00	2007-02-20	11:11:12	121.80	31.15	.00	135.00	1.00	11:49:49	121.47	31.24	46.05	0:38:37	155.78
84239.00	2007-02-20	22:16:37	121.80	31.15	.00	.00	1.00	23:02:20	121.38	31.19	56.35	0:45:43	192.86
84257.00	2007-02-20	13:38:21	121.79	31.17	42.00	.00	1.00	13:48:40	121.75	31.14	6.82	0:10:19	23.55
84257.00	2007-02-20	14:22:00	121.80	31.15	.00	45.00	1.00	14:38:16	121.69	31.15	15.45	0:16:16	45.62
84257.00	2007-02-20	14:51:16	121.80	31.17	98.00	67.00	1.00	14:54:18	121.80	31.15	2.12	0:03:02	14.00
84257.00	2007-02-20	18:09:47	121.80	31.15	44.00	90.00	1.00	19:07:44	121.15	31.28	89.85	0:57:57	313.46
84303.00	2007-02-20	21:23:51	121.80	31.15	.00	135.00	1.00	21:24:12	121.46	31.26	49.05	0:00:21	166.58
84325.00	2007-02-20	00:53:22	121.80	31.15	.00	112.00	1.00	01:25:53	121.43	31.20	50.47	0:32:31	221.91
84325.00	2007-02-20	08:07:10	121.80	31.15	.00	.00	1.00	08:43:45	121.45	31.25	49.73	0:36:35	169.03
84390.00	2007-02-20	11:16:56	121.80	31.15	.00	135.00	1.00	11:51:30	121.41	31.21	53.83	0:34:34	183.79
84580.00	2007-02-20	12:13:12	121.80	31.15	.00	135.00	1.00	12:39:37	121.48	31.15	42.82	0:26:25	144.15
84671.00	2007-02-20	11:31:10	121.80	31.15	.00	135.00	1.00	11:33:13	121.79	31.17	2.90	0:02:03	14.00
84671.00	2007-02-20	22:30:33	121.80	31.15	.00	135.00	1.00	22:33:36	121.79	31.17	2.82	0:03:03	14.00
85244.00	2007-02-20	14:27:20	121.80	31.15	.00	135.00	1.00	14:51:44	121.62	31.16	23.70	0:24:24	75.32
85271.00	2007-02-20	17:30:44	121.80	31.15	.00	.00	1.00	18:06:17	121.42	31.21	51.89	0:35:33	176.80
85275.00	2007-02-20	13:30:49	121.80	31.15	.00	135.00	1.00	13:53:12	121.40	31.12	53.54	0:22:23	182.74
85275.00	2007-02-20	18:11:19	121.80	31.15	.00	135.00	1.00	18:48:56	121.44	31.32	55.34	0:37:37	189.22
85275.00	2007-02-20	22:18:29	121.80	31.15	.00	112.00	1.00	22:37:47	121.61	31.22	27.80	0:19:18	90.08
85537.00	2007-02-20	07:11:34	121.80	31.15	.00	112.00	1.00	07:48:31	121.40	31.20	54.20	0:36:57	185.12
85871.00	2007-02-20	05:05:24	121.77	31.16	.00	.00	1.00	07:02:48	121.80	31.15	4.58	1:57:24	17.95
85875.00	2007-02-20	12:24:50	121.78	31.17	10.00	45.00	1.00	12:30:56	121.80	31.15	4.17	0:06:06	16.93
85875.00	2007-02-20	16:41:12	121.80	31.15	20.00	157.00	1.00	17:16:47	121.43	31.19	50.49	0:35:35	171.76
86303.00	2007-02-20	22:20:29	121.80	31.16	88.00	157.00	1.00	23:10:55	121.38	31.31	61.35	0:50:26	210.86
86323.00	2007-02-20	10:48:10	121.80	31.15	.00	135.00	1.00	10:55:05	121.79	31.17	4.37	0:06:55	17.43
86323.00	2007-02-20	11:29:27	121.80	31.15	.00	45.00	1.00	12:01:58	121.51	31.21	39.78	0:32:31	133.21
86345.00	2007-02-20	16:03:04	121.80	31.16	100.00	.00	1.00	16:39:40	121.42	31.21	51.59	0:36:36	175.72
86354.00	2007-02-20	13:03:04	121.80	31.15	.00	135.00	1.00	14:38:26	121.46	31.21	46.50	1:35:22	157.40
86403.00	2007-02-20	18:57:51	121.80	31.15	.00	135.00	1.00	19:06:59	121.70	31.17	13.99	0:09:08	41.48
86774.00	2007-02-20	10:46:42	121.80	31.15	.00	112.00	1.00	11:20:58	121.48	31.22	45.03	0:34:16	152.11
