0	125	196	660	292	72	447	162	189	154	97	275	239	490	139	338	278	449	322	591	80	
125	0	321	785	407	53	207	161	305	279	222	400	238	489	264	463	403	574	321	351	205	
196	321	0	856	96	268	475	190	46	238	138	79	267	518	335	534	474	645	350	619	251	
660	785	856	0	900	732	1107	822	849	629	757	788	899	1150	521	998	660	211	982	1251	703	
292	407	96	900	0	364	531	246	102	271	194	112	323	574	379	630	518	689	406	675	307	
72	53	268	732	364	0	260	214	261	226	169	347	291	542	211	410	350	521	374	404	152	
447	207	475	1107	531	260	0	285	429	598	411	554	208	280	586	785	725	896	291	144	524	
162	161	190	822	246	214	285	0	144	313	126	269	77	328	301	500	440	611	160	429	239	
189	305	46	849	102	261	429	144	0	279	92	125	221	472	328	527	467	638	304	573	205	
154	279	238	629	271	226	598	313	279	0	187	159	390	641	108	492	247	418	473	742	74	
97	222	138	757	194	169	411	126	92	187	0	217	203	454	236	435	375	546	286	555	113	
275	400	79	788	112	347	554	269	125	159	217	0	346	597	267	613	406	577	429	698	233	
239	238	267	899	323	291	208	77	221	390	203	346	0	251	378	577	517	688	83	352	316	
490	489	518	1150	574	542	280	328	472	641	454	597	251	0	629	828	768	939	168	136	567	
139	264	335	521	379	211	586	301	328	108	236	267	378	629	0	477	139	310	461	730	182	
338	463	534	998	630	410	785	500	527	492	435	613	577	828	477	0	616	787	660	929	418	
278	403	474	660	518	350	725	440	467	247	375	406	517	768	139	616	0	449	600	869	321	
449	574	645	211	689	521	896	611	638	418	546	577	688	939	310	787	449	0	771	1040	492	
322	321	350	982	406	374	291	160	304	473	286	429	83	168	461	660	600	771	0	304	399	
591	351	619	1251	675	404	144	429	573	742	555	698	352	136	730	929	869	1040	304	0	668	
80	205	251	703	307	152	524	239	205	74	113	233	316	567	182	418	321	492	399	668	0	
72
